user_id,username,pp,global_rank
27325196,IconicBeast,12788.4,641
34127963,DRE4ML9SS,12785.5,642
18532978,[LS]coolfire,12785.3,643
36430557,BANG3R,12781.3,644
11365333,phagocytosis,12780.4,645
25192757,Gameryt1234,12777.6,645
18338179,bagjettka,12776.6,646
15807199,TheSandCastle,12773.4,647
15508957,yeetboii,12766.0,648
5919873,Xan-,12763.9,649
14527087,WhatQ,12754.3,650
16954929,staynoidedd,12750.3,651
17797442,SofiTheCuy,12749.1,652
25824877,BEBROCHKA2010,12749.0,653
24851743,- ElGrincho -,12742.7,654
34623234,osu noob536978,12741.9,655
24973011,pepokk,12736.9,656
32235283,NightHunter,12735.1,657
24278389,PXGMR,12729.2,658
26852975,-sakuragii-,12729.1,659
24058560,Neon-Hooray,12724.9,660
16055641,Rxizuna,12724.5,661
25849430,Mil3nko238,12716.8,664
20126778,adzuki,12715.6,665
13577309,[Crz]nobder_QWQ,12712.1,665
11722313,Simpson Gamer,12702.3,665
14030362,-Chen-,12701.5,666
10764424,Mantozi,12700.7,668
34455976,weweqe,12698.7,668
13566981,CrazyBeat101,12698.4,669
28330584,Karin-,12696.5,672
27394972,Kefi,12693.7,672
23851777,GarNotFount,12688.3,673
12656796,KingQbert,12682.5,674
33094930,TheBagelOfMan,12681.2,676
33522256,AXerRia,12680.6,676
11964257,Mocarena,12678.5,677
31118835,[SBW]bratbrat,12677.8,678
22671085,mikoiq,12677.5,679
17740440,Foxy007cz,12672.4,681
12226439,salvation_s,12671.5,681
20222452,Suang,12660.3,682
24449678,Rand0mwastaken,12660.0,683
35665662,mallowtail,12656.2,684
13857689,Axfaerie,12653.7,684
26925082,fghaiktjjjj777i,12651.2,685
16738707,Marisa233,12644.2,687
29478727,Qindeng,12631.7,688
34220478,AmeCold,12629.8,689
10728432,Kaify,12629.6,689
29150293,Lumious_old_1,12628.8,691
34497066,BakaMacro,12624.3,693
10333739,[Crz]sunnyxxy,12624.1,693
17673611,Anwul_,12623.8,694
25689815,Midian,12623.1,695
17203049,v69v,12621.8,696
28639641,[GB]mmttyy233,12619.2,697
16837177,CappK,12619.0,698
26178116,BHNK,12618.9,699
29099335,KevinAP1,12618.9,699
7928981,[Crz]Riko,12618.7,701
32292004,pizzaboy,12615.9,702
23224152,luchenyou,12615.1,703
24153103,Steve28,12613.1,704
24224930,[REG]Seika,12604.9,705
20234457,Ogata Kanna,12602.0,706
26129533,Vivid_Merami,12601.8,707
23528661,henryalexbr,12600.3,708
25957834,fish99,12594.2,709
29251530,weirdoooooooooo,12589.4,710
27315846,Son_66,12580.0,712
28216932,NikiDaNeko,12575.7,712
35215788,Nazkillious,12570.8,713
23989702,[Lmc]Gandalf,12568.5,714
12904746,[0v0],12562.3,715
23035253,Kimgigi,12555.4,716
17572282,ME1KO N3KO,12555.3,717
26188903,ThreeAccounts,12554.0,718
28427218,Wldmts1,12550.3,719
26268474,MrFoap,12549.6,720
24465399,shase_,12549.4,721
36041994,strawman,12548.1,722
35585056,-SuSu-,12544.1,723
34833603,lebronwies,12542.3,724
20578625,[DT] Lun1x,12538.4,724
21370782,Speedom,12538.0,725
20496692,Kimstyu,12535.2,726
13858488,C90,12532.0,727
27879750,vitalerror1023,12531.8,728
21798971,-Deno-,12530.2,729
24167604,[HD]Weathersito,12527.5,731
6303313,Mathyu,12526.7,731
32942518,dikiy_perdun77,12524.5,733
14617751,yoe Lonann,12524.2,733
10964231,kunilover2010,12523.1,735
26798403,Hesition,12522.9,734
9502281,Lolli,12522.1,736
30380245,sjtxdi,12518.7,739
32399548,MSCMoon,12518.0,738
34313193,Scarlet_off,12517.7,739
20822831,Acrylla_,12517.3,740
30460297,pecao,12515.7,741
7638459,Kilawhale,12514.2,742
26997039,Vorpis,12513.2,743
33328421,Koyu_,12511.8,744
33620596,Ghfg517 Mania,12511.5,746
25896513,nefzsto,12510.7,746
26325733,Xercq,12508.9,749
29787041,mythzygia,12507.3,748
10941475,Wyvair,12502.2,749
28108536,Peerless,12501.4,750
18291502,Abyss_water,12500.8,751
19758453,rhykill,12499.8,752
19379603,[LS]LixxXD,12497.1,754
17527968,V1do-,12495.8,753
12388151,Rei_O9,12491.5,754
31679332,[AT] Funnies,12490.1,757
23237836,Fran_Exe,12488.6,758
30544378,IceSackOP123,12480.3,759
19805569,pogyes,12475.7,760
12177858,godforsakenosu,12475.2,761
16518063,[RUE]J K L,12472.3,762
28547601,Shibuya uwu,12468.0,763
36327194,_Myuka_,12465.5,764
15807665,alivn,12465.4,765
22328335,Brofriendfnf,12461.9,766
32066819,[Crz]Cardiloid,12460.9,767
18511152,yuishi2501004,12460.4,768
29279459,AllTime,12459.0,770
29832985,deepcoma,12457.6,770
14557618,Beko_Iso,12456.1,771
12917829,Sirbeyy,12450.2,772
13349388,Achino,12447.7,774
35107790,JustEmilo,12445.8,774
34282879,kentaku,12440.1,774
17844938,727_,12439.1,775
16615040,Nicknem_,12439.0,776
26166991,doohomom11,12438.1,777
21752115,nach0neko,12430.2,779
32185527,idkthebeate,12428.7,778
16999311,Quinnie why,12425.0,779
32328042,idkx,12406.3,781
30192793,BengBhengBao29,12405.8,782
